game_id,game_name,game_image_url,game_web_link,gameplay_main,gameplay_main_unit,gameplay_main_label,gameplay_main_extra,gameplay_main_extra_unit,gameplay_main_extra_label,gameplay_completionist,gameplay_completionist_unit,gameplay_completionist_label,Name,Release Date,Year,ID
2681,Donkey Kong (1981),/games/150px-Donkey_Kong_arcade.jpg,https://howlongtobeat.com/game.php?id=2681,21,Mins,Main Story,32,Mins,Main + Extra,1,Hours,Completionist,Donkey Kong (1981),09/07/1981,1981,2681
5625,Mario Bros.,/games/Mariobrothers.png,https://howlongtobeat.com/game.php?id=5625,1,Hours,Main Story,1½,Hours,Main + Extra,2,Hours,Completionist,Mario Bros.,14/07/1983,1983,5625
2692,Donkey Kong Jr.,/games/Donkey_Kong_Jr._arcade_game.png,https://howlongtobeat.com/game.php?id=2692,15,Mins,Main Story,17,Mins,Main + Extra,29,Mins,Completionist,Donkey Kong Jr.,15/07/1983,1983,2692
9371,Super Mario Bros.,/games/250px-Super_Mario_Bros._box.png,https://howlongtobeat.com/game.php?id=9371,2,Hours,Main Story,2,Hours,Main + Extra,2,Hours,Completionist,Super Mario Bros ,13/09/1985,1985,9371
9375,Super Mario Bros.: The Lost Levels,/games/250px-Mariobros2japanbox.jpg,https://howlongtobeat.com/game.php?id=9375,2½,Hours,Main Story,3,Hours,Main + Extra,6,Hours,Completionist,Super Mario Bros.: The Lost Levels,03/06/1986,1986,9375
9372,Super Mario Bros. 2,/games/250px-Super_Mario_Bros_2.jpg,https://howlongtobeat.com/game.php?id=9372,3,Hours,Main Story,3½,Hours,Main + Extra,3½,Hours,Completionist,Super Mario Bros. 2,01/09/1988,1988,9372
9373,Super Mario Bros. 3,/games/250px-Super_Mario_Bros._3_coverart.png,https://howlongtobeat.com/game.php?id=9373,5,Hours,Main Story,6,Hours,Main + Extra,6,Hours,Completionist,Super Mario Bros. 3 ,23/10/1988,1988,9373
9380,Super Mario Land,/games/250px-Supermariolandboxart.jpg,https://howlongtobeat.com/game.php?id=9380,1,Hours,Main Story,1,Hours,Main + Extra,1½,Hours,Completionist,Super Mario Land,31/07/1989,1989,9380
9387,Super Mario World,/games/250px-Super_Mario_World_Coverart.png,https://howlongtobeat.com/game.php?id=9387,5,Hours,Main Story,8,Hours,Main + Extra,10,Hours,Completionist,Super Mario World ,21/11/1990,1990,9387
9381,Super Mario Land 2: 6 Golden Coins,/games/250px-Super_Mario_Land_2_box_art.jpg,https://howlongtobeat.com/game.php?id=9381,2,Hours,Main Story,3,Hours,Main + Extra,3½,Hours,Completionist,Super Mario Land 2: 6 Golden Coins,21/10/1992,1992,9381
9369,Super Mario All-Stars,/games/250px-SuperMarioAllStars.jpg,https://howlongtobeat.com/game.php?id=9369,12½,Hours,Solo,-1,,Co-Op,-1,,Vs.,Super Mario All-Stars,01/08/1993,1993,9369
5632,Mario is Missing!,/games/230px-Mario_is_Missing_NES_cover.PNG,https://howlongtobeat.com/game.php?id=5632,2½,Hours,Main Story,2½,Hours,Main + Extra,3,Hours,Completionist,Mario is Missing!,01/09/1993,1993,5632
11067,Wario Land: Super Mario Land 3,/games/250px-Wario_Land_Box_Art.jpg,https://howlongtobeat.com/game.php?id=11067,4,Hours,Main Story,5½,Hours,Main + Extra,10,Hours,Completionist,Wario Land: Super Mario Land 3,21/01/1994,1994,11067
2682,Donkey Kong (1994),/games/Donkey_Kong_94_box_art.jpg,https://howlongtobeat.com/game.php?id=2682,6,Hours,Main Story,6½,Hours,Main + Extra,9,Hours,Completionist,Donkey Kong,14/06/1994,1994,2682
9383,Super Mario RPG: Legend of the Seven Stars,/games/256px-SuperMarioRPGSNESCoverArtUS.jpg,https://howlongtobeat.com/game.php?id=9383,17,Hours,Main Story,19,Hours,Main + Extra,26,Hours,Completionist,Super Mario RPG: Legend of the Seven Stars,09/03/1996,1996,9383
9364,Super Mario 64,/games/Super_Mario_64_box_cover.jpg,https://howlongtobeat.com/game.php?id=9364,12,Hours,Main Story,17½,Hours,Main + Extra,20½,Hours,Completionist,Super Mario 64 ,23/06/1996,1996,9364
9374,Super Mario Bros. Deluxe,/games/620647-supermariobrosdeluxe_large.jpg,https://howlongtobeat.com/game.php?id=9374,3,Hours,Main Story,6,Hours,Main + Extra,11,Hours,Completionist,Super Mario Bros. Deluxe,01/05/1999,1999,9374
6909,Paper Mario,/games/Papermario.jpg,https://howlongtobeat.com/game.php?id=6909,23,Hours,Main Story,27½,Hours,Main + Extra,33,Hours,Completionist,Paper Mario,11/08/2000,2000,6909
9366,Super Mario Advance,/games/SuperMarioAdvance.jpg,https://howlongtobeat.com/game.php?id=9366,4,Hours,Main Story,7,Hours,Main + Extra,10,Hours,Completionist,Super Mario Advance,21/03/2001,2001,9366
9367,Super Mario Advance 2: Super Mario World,/games/SuperMarioAdvance2SuperMarioWorld.JPG,https://howlongtobeat.com/game.php?id=9367,5,Hours,Main Story,8,Hours,Main + Extra,9,Hours,Completionist,Super Mario Advance 2: Super Mario World,14/12/2001,2001,9367
9386,Super Mario Sunshine,/games/250px-Super_mario_sunshine.jpg,https://howlongtobeat.com/game.php?id=9386,15,Hours,Main Story,20½,Hours,Main + Extra,29½,Hours,Completionist,Super Mario Sunshine ,19/07/2002,2002,9386
11442,Yoshi's Island: Super Mario Advance 3,/games/625114-supermarioadvance3_large.jpg,https://howlongtobeat.com/game.php?id=11442,10,Hours,Main Story,14,Hours,Main + Extra,19,Hours,Completionist,Yoshi's Island: Super Mario Advance 3,20/09/2002,2002,11442
9368,Super Mario Advance 4: Super Mario Bros. 3,/games/250px-Super_Mario_Advance_4.png,https://howlongtobeat.com/game.php?id=9368,6,Hours,Main Story,9,Hours,Main + Extra,11,Hours,Completionist,Super Mario Advance 4: Super Mario Bros. 3,11/07/2003,2003,9368
5622,Mario & Luigi: Superstar Saga,/games/250px-MarioAndLuigiSuperstarSagaGBACoverArtUS.jpg,https://howlongtobeat.com/game.php?id=5622,19,Hours,Main Story,21½,Hours,Main + Extra,31½,Hours,Completionist,Mario & Luigi: Superstar Saga,17/11/2003,2003,5622
5660,Mario vs. Donkey Kong,/games/250px-Mario_vs._Donkey_Kong_Coverart.png,https://howlongtobeat.com/game.php?id=5660,5,Hours,Main Story,7,Hours,Main + Extra,12,Hours,Completionist,Mario vs. Donkey Kong,01/06/2004,2004,5660
6911,Paper Mario: The Thousand-Year Door,/games/Ttydbox.jpg,https://howlongtobeat.com/game.php?id=6911,30½,Hours,Main Story,39½,Hours,Main + Extra,61,Hours,Completionist,Paper Mario: The Thousand-Year Door,22/07/2004,2004,6911
9365,Super Mario 64 DS,/games/250px-Super_Mario_64_DS_Coverart.png,https://howlongtobeat.com/game.php?id=9365,15,Hours,Main Story,23½,Hours,Main + Extra,26,Hours,Completionist,Super Mario 64 DS,21/11/2004,2004,9365
9409,Super Princess Peach,/games/250px-Super_Princess_Peach.jpg,https://howlongtobeat.com/game.php?id=9409,8,Hours,Main Story,10,Hours,Main + Extra,16,Hours,Completionist,Super Princess Peach,20/10/2005,2005,9409
5621,Mario & Luigi: Partners in Time,/games/250px-Mario_and_Luigi_-_Parnters_In_Time_(box_art).jpg,https://howlongtobeat.com/game.php?id=5621,18,Hours,Main Story,20,Hours,Main + Extra,30,Hours,Completionist,Mario & Luigi: Partners in Time,29/12/2005,2005,5621
6534,New Super Mario Bros.,/games/250px-NewSuperMarioBrothers.jpg,https://howlongtobeat.com/game.php?id=6534,7,Hours,Main Story,10½,Hours,Main + Extra,17,Hours,Completionist,New Super Mario Bros.,15/05/2006,2006,6534
5661,Mario vs. Donkey Kong 2: March of the Minis,/games/250px-Mario-vs-donkey-kong-2-march-of-the-minis-20060614044530943.jpg,https://howlongtobeat.com/game.php?id=5661,4½,Hours,Main Story,9,Hours,Main + Extra,19,Hours,Completionist,Mario vs. Donkey Kong 2: March of the Minis,25/09/2006,2006,5661
